,Date,Close
0,"Feb 22, 2019",110.97
1,"Feb 21, 2019",109.41
2,"Feb 20, 2019",107.15
3,"Feb 19, 2019",108.17
4,"Feb 15, 2019",108.22
5,"Feb 14, 2019",106.90
6,"Feb 13, 2019",106.81
7,"Feb 12, 2019",106.89
8,"Feb 11, 2019",105.25
9,"Feb 08, 2019",105.67
10,"Feb 07, 2019",105.27
11,"Feb 06, 2019",106.03
12,"Feb 05, 2019",107.22
13,"Feb 04, 2019",105.74
14,"Feb 01, 2019",102.78
15,"Jan 31, 2019",104.43
16,"Jan 30, 2019",106.38
17,"Jan 29, 2019",102.94
18,"Jan 28, 2019",105.08
19,"Jan 25, 2019",107.17
20,"Jan 24, 2019",106.20
21,"Jan 23, 2019",106.71
22,"Jan 22, 2019",105.68
23,"Jan 18, 2019",107.71
24,"Jan 17, 2019",106.12
25,"Jan 16, 2019",105.38
26,"Jan 15, 2019",105.01
27,"Jan 14, 2019",102.05
28,"Jan 11, 2019",102.80
29,"Jan 10, 2019",103.60
