,Date,Close
0,"Feb 05, 2019",172.5544
1,"Feb 01, 2019",172.7700
2,"Jan 31, 2019",169.5800
3,"Jan 30, 2019",170.9300
4,"Jan 29, 2019",164.9900
5,"Jan 28, 2019",166.0600
6,"Jan 25, 2019",165.4900
7,"Jan 24, 2019",161.2000
8,"Jan 23, 2019",139.3300
9,"Jan 22, 2019",139.8900
10,"Jan 18, 2019",147.5500
11,"Jan 17, 2019",141.7600
12,"Jan 16, 2019",138.7500
13,"Jan 15, 2019",140.0000
14,"Jan 14, 2019",140.4300
15,"Jan 11, 2019",144.1100
16,"Jan 10, 2019",144.5700
17,"Jan 09, 2019",144.0000
18,"Jan 08, 2019",136.9300
19,"Jan 07, 2019",139.2900
20,"Jan 04, 2019",138.0600
21,"Jan 03, 2019",131.6300
22,"Jan 02, 2019",138.3000
23,"Dec 31, 2018",136.1700
24,"Dec 28, 2018",135.4200
25,"Dec 27, 2018",133.2800
26,"Dec 26, 2018",130.8400
27,"Dec 24, 2018",123.2800
28,"Dec 21, 2018",127.1600
