title,rating,num_votes,year
Rampage,6.1,102717,2018
The Big Lebowski,8.1,647780,1998
Schindler's List,8.9,1057445,1993
Spider-Man,7.3,626810,2002
Inglourious Basterds,8.3,1090232,2009
Piercing,5.9,1055,2018
Goodfellas,8.7,881845,1990
Under the Silver Lake,6.4,9523,2018
The Happening,5.0,183561,2008
Alpha,6.7,33876,2018
The Equalizer,7.2,293022,2014
The Goonies,7.8,212337,1985
The Spy Who Dumped Me,6.0,38742,2018
Fantastic Beasts and Where to Find Them,7.3,348326,2016
Harry Potter and the Deathly Hallows: Part 1,7.7,412935,2010
Fast Times at Ridgemont High,7.2,83437,1982
The Big Short,7.8,298356,2015
Murder on the Orient Express,6.5,170209,2017
The Lord of the Rings: The Return of the King,8.9,1455609,2003
Baywatch,5.6,126400,2017
The Silence of the Lambs,8.6,1100157,1991
Logan,8.1,531718,2017
Beauty and the Beast,7.2,227258,2017
The Village,6.5,222858,2004
Captain America: Civil War,7.8,545111,2016
You Were Never Really Here,6.8,60924,2017
Creed,7.6,213647,2015
Forrest Gump,8.8,1562538,1994
Batman v Superman: Dawn of Justice,6.5,561028,2016
Apostle,6.3,23963,2018
The Butterfly Effect,7.7,413922,2004
Super 8,7.0,316889,2011
Rust Creek,5.6,1259,2018
Baby Driver,7.6,343666,2017
Wind River,7.7,158588,2017
Rogue One,7.8,459733,2016
First Reformed,7.1,23248,2017
Gladiator,8.5,1182206,2000
Can You Ever Forgive Me?,7.6,3836,2018
The Mummy Returns,6.3,279711,2001
Iron Man,7.9,829564,2008
The Boy in the Striped Pyjamas,7.8,165157,2008
Harry Potter and the Prisoner of Azkaban,7.9,476035,2004
Birdman or (The Unexpected Virtue of Ignorance),7.7,505179,2014
A Series of Unfortunate Events,6.8,182417,2004
The Prestige,8.5,1039141,2006
Jurassic Park,8.1,763819,1993
Christopher Robin,7.4,39234,2018
Harry Potter and the Chamber of Secrets,7.4,479956,2002
The Princess Bride,8.1,350523,1987
No Country for Old Men,8.1,749153,2007
The Mummy: Tomb of the Dragon Emperor,5.2,138027,2008
Braveheart,8.4,875242,1995
The Notebook,7.9,463048,2004
"I, Tonya",7.5,128678,2017
