title,rating,num_votes,year
Locked Away,5.9,200,2010
Crocodile 2: Death Swamp,3.8,1636,2002
In Name Only,7.2,2262,1939
Battle of the Damned,4.5,3426,2013
Starchaser: The Legend of Orin,6.7,1719,1985
Buck Privates,7.3,3639,1941
Kitty Foyle,7.0,2796,1940
The Mask of Dimitrios,7.3,2704,1944
Les Girls,6.7,2239,1957
Attack of the Puppet People,4.7,1734,1958
More Dead Than Alive,6.2,560,1969
The Calling,4.1,1690,2000
Adventure in Manhattan,6.6,497,1936
The Last Film Festival,4.0,192,2016
"Cornbread, Earl and Me",6.9,667,1975
Midnight Movie,5.2,3567,2008
'He's Watching',5.7,81,2018
I Believe,7.5,88,2017
Battle for Skyark,2.8,1699,2016
Shinbone Alley,5.5,127,1970
Daniel,6.7,993,1983
Beatdown,4.6,1132,2010
Seven Chances,8.0,7936,1925
House of Demons,3.8,364,2018
Disconnected,4.3,266,1984
Middle of Nowhere,6.4,1380,2012
The Beast of Hollow Mountain,4.1,1307,1956
The League of Gentlemen's Apocalypse,6.2,4987,2005
Gekijouban Poketto monsutâ Adobansu jenerêshon: Rekkuu no houmonsha Deokishisu,6.1,2624,2004
Worry Dolls,4.3,1355,2016
The Lickerish Quartet,6.1,859,1970
The Brave One,6.8,628,1956
Coasting,7.2,17,2010
Neron,3.0,459,2018
Bee Season,5.5,6395,2005
Mean Guns,5.7,3924,1997
Windows,4.7,470,1980
Day the World Ended,5.4,1578,1955
Hollow Creek,4.3,534,2016
Dahmer vs. Gacy,2.5,458,2010
Underwater!,5.3,617,1955
Killer: A Journal of Murder,6.4,2037,1995
Adam Chaplin,5.7,1492,2011
"Scotland, Pa.",6.8,4063,2001
County Line,5.2,205,2017
Night Skies,4.7,2469,2007
Black Angel,7.0,2233,1946
Incognito,6.6,2919,1997
For Me and My Gal,7.2,2729,1942
Badge 373,5.7,445,1973
Woman Obsessed,6.2,231,1959
Kingdom Come,5.7,1933,2001
Zyzzyx Rd,4.2,911,2006
The Vessel,5.3,912,2016
Good Morning... and Goodbye!,5.7,447,1967
A Nanny for Christmas,5.4,1421,2010
Don't Go in the Woods,3.6,2302,1981
San Francisco,7.3,4422,1936
The Pornographer: A Love Story,4.7,139,2004
Spa Night,5.9,925,2016
Nona,7.2,31,2017
The Challenge,6.4,1659,1982
The Last Eve,5.2,78,2005
Tyler Perry's: Madea on the Run,5.2,222,2017
The Student Nurses,5.3,250,1970
Five Loose Women,4.8,261,1974
Francis in the Navy,5.9,510,1955
The Front Page,6.8,1982,1931
Echoes of a Summer,6.6,355,1976
The Learning Tree,7.2,789,1969
The Expendables,4.6,99,1988
The Hearse,4.9,1592,1980
Chromeskull: Laid to Rest 2,5.2,3058,2011
Conrack,7.3,1578,1974
Surf School,2.2,4804,2006
Simpatico,4.5,3166,1999
Hope Springs,5.4,6222,2003
Boner,7.7,30,2012
Possessed,7.2,3998,1947
Scumbag,7.1,67,2017
Robodoc,4.3,697,2009
Tilt,5.0,365,2017
The Madwoman of Chaillot,6.1,890,1969
Back from Eternity,6.6,1068,1956
Dark Summer,4.3,2967,2015
Schoolgirls in Chains,5.2,412,1973
Ingenious,5.8,1740,2009
Boys of Abu Ghraib,5.4,1940,2014
Dementia,5.2,1191,2015
Bathing Beauty,6.6,1302,1944
Shandra: The Jungle Girl,3.2,208,1999
The Playboys,6.3,1051,1992
"Sex, Death and Bowling",5.3,299,2015
Assumed Killer,3.6,339,2013
Islands in the Stream,6.7,1148,1977
Take Me Out to the Ball Game,6.8,2821,1949
The Daytrippers,6.9,3696,1996
The Van,4.6,752,1977
They Might Be Giants,7.0,2387,1971
Survival Quest,6.1,829,1988
The Guitar,6.5,2793,2008
Valley of Bones,4.2,420,2017
Black Nativity,4.6,1875,2013
"Car 54, Where Are You?",2.5,4113,1994
The Wendell Baker Story,5.5,5416,2005
Apache Rifles,6.2,371,1964
Mr. Skeffington,7.8,4790,1944
Rice Girl,6.1,70,2014
Band of Angels,6.6,1843,1957
No Way to Treat a Lady,7.1,1731,1968
Among Friends,4.5,1437,2012
Melvin Goes to Dinner,7.0,2223,2003
Desiree,5.0,145,2015
Present Laughter,7.8,78,2017
Father's Little Dividend,6.6,3040,1951
Passion of Mind,5.6,2995,2000
Red Is the Color of,5.0,219,2007
Flying Tigers,6.8,3121,1942
Divorce Invitation,4.7,1314,2012
Blind Horizon,5.6,4213,2003
You Will Love Me,2.5,509,2013
A Date with Judy,6.6,959,1948
My Trip Back to the Dark Side,4.6,928,2014
Bernard and Huey,5.2,172,2017
The Barbarian and the Geisha,5.6,1573,1958
Second Sight,4.3,1122,1989
Five Days One Summer,6.1,857,1982
"Captain Newman, M.D.",7.0,1986,1963
Not Waving But Drowning,6.2,285,2012
What's the Matter with Helen?,6.4,1454,1971
Levity,6.4,6024,2003
War of the Worlds the True Story,7.3,359,2012
Custer of the West,5.8,1099,1967
Perfect Strangers,5.4,269,1984
The Boxcar Children,6.7,406,2014
Justine,5.7,339,1969
Black Water Transit,6.9,247,2009
The Deadly Mantis,4.9,2712,1957
Summer Job,4.6,375,1989
Americathon,4.2,694,1979
Charlie Charlie,2.6,589,2016
Days of Glory,6.2,972,1944
Book of Fire,4.0,87,2015
A Safe Place,5.3,831,1971
Freerunner,3.8,4936,2011
Head of the Family,5.3,1144,1996
Ski Party,5.2,466,1965
Family Tree,5.8,184,1999
Brightest Star,5.1,965,2013
Changeover,6.7,77,2016
Repo Chick,3.9,591,2009
Little Boy Blue,6.4,1905,1997
The Ugly American,6.7,1639,1963
The Waterdance,6.9,2460,1992
Echo Park,6.1,407,2014
Hollywood Warrioress: The Movie,3.0,11,2016
Freezer,5.2,3049,2014
Grand Theft Parsons,6.0,3181,2003
The Left Hand of God,6.5,2093,1955
My Demon Lover,4.6,1007,1987
Doomsday Machine,2.5,834,1972
We Only Know So Much,8.6,14,2018
Triumph of the Spirit,6.9,1982,1989
How It Ends,4.5,19,2016
Wild Thing,5.3,509,1987
The Rounders,6.3,1344,1965
The Black Rose,6.4,1560,1950
The One and Only,5.8,606,1978
The Last Ride,5.8,729,2011
Fort Tilden,5.4,1211,2014
BearCity 3,6.4,122,2016
The Saint of Fort Washington,7.2,2131,1993
The Glass Shield,6.6,3085,1994
The Deadly Companions,6.1,1785,1961
A Woman for All Men,5.1,117,1975
A Fork in the Road,6.1,1039,2009
Waterloo Bridge,7.6,2198,1931
Topper Takes a Trip,6.7,891,1938
Sergeants 3,6.1,973,1962
Comanche Station,7.1,2659,1960
Thirst Street,5.8,348,2017
Combat Shock,6.5,2320,1984
Big Eden,7.4,3767,2000
The Terror of Tiny Town,3.5,1392,1938
The Godson,3.1,1238,1998
Nobel Son,6.3,5359,2007
In the Cool of the Day,5.0,396,1963
Lake Eerie,4.9,5734,2016
Hitler's Children,6.4,762,1943
The Boneyard,5.6,899,1991
As Young as You Feel,6.6,904,1951
"Blackbeard, the Pirate",6.1,1135,1952
Breaking at the Edge,4.5,786,2013
Finding Focus,6.6,23,2012
The Gospel of John,7.8,528,2014
The Living End,6.5,2296,1992
Love Thy Neighbor,4.7,86,2005
American Dreamer,6.7,1292,1984
Cut Shoot Kill,4.6,383,2017
Tower of London,6.4,1597,1962
The Last Run,6.6,1178,1971
Fairhaven,5.1,435,2012
Bird of Paradise,6.1,918,1932
Sinbad of the Seven Seas,4.3,1252,1989
Allegheny Uprising,6.4,1360,1939
Shortwave,4.6,1466,2016
Loitering with Intent,4.6,593,2014
Mother Ghost,6.5,280,2002
Digging to China,6.9,2342,1997
Ruby in Paradise,7.1,2213,1993
Opposite Day,4.3,724,2009
"Kiss Me, Kill Me",4.7,208,2015
The Cross and the Switchblade,6.1,890,1970
Best of the Best 3: No Turning Back,4.8,1726,1995
Riding High,6.2,395,1950
"Have Dreams, Will Travel",7.5,1471,2007
Polish Wedding,5.4,2975,1998
Mississippi Damned,7.5,778,2009
Last Woman on Earth,4.8,1509,1960
Getting Grace,7.3,276,2017
Garroter,8.2,26,2016
The Public Eye,6.5,2947,1992
Meet Wally Sparks,5.2,2905,1997
Hero Wanted,5.7,6768,2008
Contamination .7,2.5,960,1993
Brooklyn Rules,6.4,5285,2007
The Young Philadelphians,7.4,2780,1959
The North Avenue Irregulars,6.8,850,1979
Something Wild,6.8,1035,1961
The Mob,7.0,969,1951
Plan 9,5.7,1622,2015
Some Guy Who Kills People,6.3,4884,2011
The Further Adventures of Tennessee Buck,4.7,472,1988
Dark Pledge,5.3,234,2016
Two Bits,6.3,3023,1995
Baby Obsession,4.7,26,2018
Hard Cash,4.5,2870,2002
The Junkman,5.5,581,1982
The Naked Brothers Band: The Movie,4.1,1057,2005
The Middle of X,4.9,112,2018
The Shadow on the Window,6.3,199,1957
Lemora: A Child's Tale of the Supernatural,6.5,1741,1973
Amber Alert,4.6,2668,2012
Pound,6.3,225,1970
Rails & Ties,6.8,3777,2007
Underdog Kids,4.4,333,2015
The Doctor and the Devils,6.2,910,1985
Scenes from a Mall,5.3,4328,1991
Forever's End,5.0,222,2013
Casual Encounters,4.2,405,2016
After Sex,4.5,739,2000
Young Lady Chatterley II,3.1,480,1985
Aztec Warrior,6.4,33,2016
The von Trapp Family: A Life of Music,6.5,344,2015
Created Equal,5.1,100,2017
Stars and Bars,4.8,738,1988
Man of a Thousand Faces,7.3,2046,1957
Werewolves in Heat,5.2,51,2015
Edge of Darkness,7.3,1687,1943
Dead Body,4.9,463,2017
Rough Night in Jericho,6.4,900,1967
Blowing Wild,6.6,696,1953
Tangled,5.7,2236,2001
Real Life,7.1,2280,1979
It's Alive III: Island of the Alive,4.7,1500,1987
Halloween Horror Tales,2.2,80,2018
Jurassic Galaxy,2.3,18,2018
Nemesis 5: The New Model,3.0,78,2017
The Baxter,6.6,4475,2005
Duane Hopwood,6.7,2165,2005
Miss Sadie Thompson,6.0,1198,1953
Whipped,4.4,3803,2000
Take a Hard Ride,5.8,889,1975
Up the Down Staircase,7.6,1660,1967
Shockproof,6.6,1077,1949
Dakota Skye,6.6,3098,2008
Bigger Than Life,7.6,5998,1956
The Story of Temple Drake,7.2,890,1933
Return of the Ghostbusters,5.5,1155,2007
The Fourth Dimension,6.1,422,2012
Tell-Tale,5.4,4583,2009
Gas Pump Girls,4.7,436,1979
Space Warriors,4.6,1104,2013
The Demented,3.8,1730,2013
Boomerang!,7.2,3558,1947
Sweet Talk,5.4,262,2013
The Greek Tycoon,5.2,1017,1978
Fixed Bayonets!,7.0,1489,1951
The Admirable Crichton,7.1,1086,1957
Minghags,5.6,654,2009
Antisocial.app,2.7,356,2017
The First $20 Million Is Always the Hardest,5.6,2966,2002
Sprouting Orchids,7.9,182,2014
Switching Channels,5.9,3044,1988
Decommissioned,3.5,304,2016
The Matchmaker,7.0,906,1958
Jack and the Beanstalk,6.1,2546,1952
Appleton,5.4,130,2015
Popstar,2.6,2881,2005
Black Belt Jones,6.4,1848,1974
Flareup,5.2,234,1969
The Object of Beauty,5.7,1777,1991
The Victors,7.1,1257,1963
Oblivion 2: Backlash,5.6,410,1996
Andy Hardy's Private Secretary,6.8,414,1941
Final Chapter: Walking Tall,5.9,723,1977
From Hell to the Wild West,3.2,81,2017
Amanda McKay,9.2,14,2018
Black Legion,7.0,2240,1937
Plank Face,6.1,153,2016
Rise of the Zombies,4.0,2954,2012
A Good Man in Africa,5.1,2154,1994
Canyon Passage,7.0,1682,1946
Break Up,5.1,1625,1998
Dear Lemon Lima,6.5,1050,2009
State of Emergency,5.3,2701,2011
Revelation Road: The Beginning of the End,5.0,1655,2013
Bikini Model Mayhem,6.0,52,2016
The Extraordinary Seaman,2.8,559,1969
Crazy Fat Ethel,6.8,53,2016
Wife vs. Secretary,7.1,2762,1936
Shy People,6.9,1025,1987
Blood Red,3.2,635,1989
Nine Miles Down,5.5,3037,2009
The Hillside Strangler,5.3,1679,2004
Abbott and Costello Meet the Mummy,6.5,4619,1955
Minor Details,4.8,748,2009
Shark Bait,4.2,3455,2006
Agnes Browne,6.6,1923,1999
Sergeant Rutledge,7.5,3432,1960
Five Nights at Freddy's: The Fan Movie,7.0,32,2017
Takin' It All Off,5.4,233,1987
The King of Kings,7.4,1690,1927
Gunshy,6.1,845,1998
Texas Terror,5.1,705,1935
American Samurai,4.9,1594,1992
Quicksand,6.7,1703,1950
Southwest Passage,5.9,249,1954
The Maladjusted,6.9,931,2013
The Kentuckian,6.3,2112,1955
Waking Madison,6.0,1305,2010
Pass the Ammo,6.2,446,1988
Midnight Clear,6.2,697,2006
Badsville,6.5,113,2017
The Godless Girl,7.4,613,1929
House of Fears,4.9,1679,2007
Hot Moves,5.0,433,1984
Old Joy,6.7,5387,2006
Big Fan,6.7,8539,2009
The Human Tornado,6.3,1051,1976
The Young Nurses,4.7,127,1973
California Dreaming,6.0,518,1979
Service to Man,7.3,42,2016
The Betrayed,6.0,1906,2008
The Bad Man,8.5,30,2018
Barbie Mariposa and the Fairy Princess,6.2,657,2013
Mulberry St,5.6,5252,2006
The Proud Ones,7.1,912,1956
Kiss the Bride,5.5,1064,2002
Behind Enemy Lines,4.2,744,1997
Back Street,6.8,794,1961
The Law and Jake Wade,6.8,1831,1958
Out on a Limb,5.3,1440,1992
J.D.'s Revenge,6.0,788,1976
The Hebrew Hammer,6.2,4469,2003
Story of G.I. Joe,7.4,2664,1945
Messenger of Death,5.6,2075,1988
China Girl,6.1,1342,1987
Son of Paleface,7.0,1844,1952
A Damsel in Distress,6.9,1576,1937
Misogynist,5.7,2325,2013
Psychos in Love,6.1,896,1987
Crackers,5.1,1059,1984
Holly Star,6.3,71,2018
Mudhoney,6.4,1107,1965
Pick-up,4.7,754,1975
Erotique,5.1,321,1994
The Newcomers,5.0,304,2000
The Honey Pot,7.0,1846,1967
Windwalker,7.0,901,1980
Fat Angels,6.7,40,1981
King Lear,5.7,1090,1987
Fall,6.1,1620,1997
Stepping Out,6.4,969,1991
Grilled,5.2,5191,2006
Track of the Cat,6.5,1600,1954
Dolphin Kick,9.8,5,2019
The Horse Dancer,4.6,173,2017
Babes in Arms,6.5,2051,1939
Gingerdead Man Vs. Evil Bong,4.2,459,2013
The Fever,6.0,962,2004
Crazy Eights,4.0,2979,2006
To Each His Own,7.8,1984,1946
Nude on the Moon,3.9,712,1961
Deranged,6.0,352,1987
Until They Sail,6.5,1055,1957
The Crescent Moon Clown,2.4,64,2018
Mountain Top,7.5,211,2017
Toys in the Attic,6.9,865,1963
Jane Wants a Boyfriend,6.8,1786,2015
Crocodylus,6.7,7,2019
Tomahawk,6.3,588,1951
Road House,7.3,2000,1948
This Thing of Ours,5.3,593,2003
Late for Dinner,6.5,1551,1991
Air Force,7.1,2610,1943
The Great American Girl Robbery,3.7,335,1979
Isle of the Dead,6.6,3535,1945
The Unknown,7.8,6308,1927
Why Me?,6.1,897,1990
Little Miss Marker,6.3,1157,1980
Adventures of Don Juan,7.0,2453,1948
The Vampire Bat,5.7,1847,1933
Poor White Trash,5.2,1191,2000
King Rat,8.4,12,2017
Angel of Reckoning,2.8,195,2016
The Tao of Steve,6.7,7115,2000
Wish You Well,6.6,658,2013
Elle: A Modern Cinderella Tale,4.5,1397,2010
Death and Cremation,5.9,640,2010
Interviewing Monsters,8.5,11,2018
Period of Adjustment,6.4,967,1962
Johnny Tremain,6.6,1370,1957
Carson City,6.5,783,1952
The Falcon Takes Over,6.5,691,1942
Action in the North Atlantic,7.0,3104,1943
The Astro-Zombies,3.1,1889,1968
Sherlock Holmes and the Secret Weapon,6.8,4759,1942
The Hunted,4.8,1016,2013
Phaedra,7.1,1214,1962
Holiday Spectacular,7.5,8,2018
Not as a Stranger,6.8,1506,1955
Race to Redemption,5.1,240,2016
Camp Hell,3.5,1967,2010
Try Seventeen,6.1,5743,2002
The Wonderful World of the Brothers Grimm,6.4,1312,1962
Kissin' Cousins,5.3,1759,1964
The Reason,8.6,8,2018
Love and Mary,5.8,462,2007
Open Road,5.5,1608,2013
Front Cover,6.0,764,2015
The Unborn,4.1,844,1991
Summer of '67,4.8,128,2018
Weight,5.7,49,2017
House Shark,6.2,411,2017
Trailer Park of Terror,5.3,3541,2008
Gunn,6.3,315,1967
Trouble in Mind,6.7,1407,1985
Pinocchio,3.6,122,1971
Happy Campers,5.6,2492,2001
Schizopolis,7.0,4800,1996
Carrie,7.4,1873,1952
Northfork,6.4,5090,2003
Salvage,5.5,2375,2006
Forbidden Games,4.7,236,1995
The Racket,6.8,2308,1951
Cam2Cam,3.7,700,2014
"Abraxas, Guardian of the Universe",2.7,1501,1990
Hider in the House,5.9,1026,1989
Woman Times Seven,6.1,1116,1967
Hide and Go Shriek,5.4,952,1988
Villa Rides,6.5,1585,1968
No Name on the Bullet,7.3,1695,1959
American Justice,2.8,483,2017
Pacific Standard Time,4.3,594,2016
The Cobweb,6.4,1315,1955
Night People,6.5,850,1954
Frank and Cindy,6.1,513,2015
Oxygen,6.1,4107,1999
Claire in Motion,4.3,563,2016
Mr. North,5.9,1122,1988
Hav Plenty,6.6,905,1997
Second Chance,6.1,735,1953
Dear Sidewalk,7.3,96,2013
Heartbreakers,6.2,415,1984
Because Of Grácia,8.0,85,2017
Eskimo,7.1,280,1933
Def by Temptation,4.5,1076,1990
Uncertainty,5.8,6217,2008
Steele Justice,4.8,445,1987
Eat,4.9,1367,2014
My Daughter Vanished,4.9,47,2018
The Brotherhood,6.1,674,1968
The Oscar,5.2,889,1966
Super Shark,2.6,1957,2011
Night Patrol,4.8,1139,1984
Get to Know Your Rabbit,5.5,539,1972
Platinum Blonde,6.9,2530,1931
The Mad Miss Manton,6.9,1759,1938
The Unholy Rollers,5.7,422,1972
Golden Boy,7.0,7,2018
Point of no Return,6.2,32,2016
Camino,5.0,858,2015
Twilight's Last Gleaming,6.8,2497,1977
The Dust Storm,5.8,410,2016
The Perfect Day,3.2,76,2017
Snow on Tha Bluff,6.7,2194,2011
Welcome to Happiness,6.1,487,2015
Random Tropical Paradise,4.4,296,2017
The Last Time,6.2,3349,2006
Bad Medicine,4.5,1103,1985
The Spider Woman,7.3,3611,1943
Buster and Billie,7.0,563,1974
Dishonored Lady,6.6,821,1947
Roberta,7.1,2609,1935
Night Fire,3.9,388,1994
"South of Heaven, West of Hell",4.2,1306,2000
Honeydripper,6.7,1797,2007
Blondie,7.0,515,1938
Rage of the Mummy,5.6,12,2018
Bling,4.5,565,2016
Albanian Gangster,9.3,60,2018
Evol,8.5,16,2016
A Matter of Time,5.1,459,1976
Year of the Gun,5.7,2149,1991
Almost Human,4.6,2714,2013
30 Beats,4.2,852,2012
Meth Head,5.7,366,2013
Six Weeks,5.7,707,1982
Children of the Night,4.6,833,1991
Diary of a Mad Housewife,7.1,1143,1970
The Breaking Point,7.5,2041,1950
Short Eyes,7.1,919,1977
Sex Court: The Movie,4.4,175,2001
The Cameraman,8.3,9038,1928
Deadly Daycare,5.0,364,2014
Bruno,6.2,1280,2000
Man with the Gun,6.7,1211,1955
Dark Tower,4.1,450,1989
Too Much Sun,4.1,357,1990
The Ghost Ship,6.7,2614,1943
sxtape,3.3,1710,2013
WiseGirls,5.9,2717,2002
Underclassman,4.1,5222,2005
Piranha Sharks,3.4,308,2016
House by the River,7.2,2433,1950
Old Acquaintance,7.6,2564,1943
Love Finds Andy Hardy,6.9,1456,1938
Gatorbait II: Cajun Justice,4.1,234,1988
Hollywood Monster,4.1,644,1987
"Stay Away, Joe",4.8,970,1968
Relaxer,6.1,170,2018
The Indian Fighter,6.4,1770,1955
Sexina: Popstar P.I.,2.9,102,2007
Dracula vs. Frankenstein,3.2,1567,1971
An Almost Perfect Affair,5.2,234,1979
Ninja Vengeance,2.2,224,1988
Kampout,2.8,84,2017
Transpecos,5.7,2119,2016
Hijacked,3.9,3474,2012
Frat Party,2.8,1688,2009
The Nature of the Beast,6.4,1733,1995
W.W. and the Dixie Dancekings,5.9,804,1975
Fort Defiance,6.0,270,1951
The Man Who Cheated Himself,6.9,1296,1950
American Ninja 5,2.9,3555,1993
Saint Joan,6.4,964,1957
French Postcards,6.0,440,1979
My Life So Far,6.5,2660,1999
Blade,5.4,182,1973
Two for the Seesaw,6.8,1304,1962
Homeboy,5.9,2013,1988
Enemy Gold,4.3,490,1993
Manhattan Melodrama,7.2,3096,1934
Dragon Fury,3.2,133,1995
Tejano,8.2,20,2018
Staying Together,6.3,682,1989
No Vacancy,5.1,693,1999
Gutterdammerung,7.8,50,2016
Five Weeks in a Balloon,5.8,1005,1962
The Pursuit of D.B. Cooper,5.7,920,1981
Criminal Minds,6.8,79,1998
The Beast That Killed Women,2.6,372,1965
You Can't Kill Stephen King,3.8,1098,2012
The Wrong Cruise,5.4,113,2018
Blue Summer,4.6,224,1973
Watch Me,5.2,223,1995
The Million Dollar Duck,5.8,1657,1971
Fire Down Below,6.1,1232,1957
Altered Hours,4.6,349,2016
Sunset Strip,5.7,1375,2000
The Art of Travel,6.4,2329,2008
Zaat,2.5,4445,1971
Away Days,8.0,9,2016
Bornless Ones,4.7,933,2016
Orphans,6.8,718,1987
Six Ways to Sunday,6.4,1316,1997
The Red Badge of Courage,7.3,3585,1951
Back by Midnight,4.9,425,2004
Dark Sister,2.8,16,2018
Joker Rising,7.1,401,2013
Pet Shop,4.3,310,1994
The Babymoon,4.2,180,2017
3 Nights in the Desert,5.3,1404,2014
The Girl Is in Trouble,4.9,784,2015
Sol Goode,5.5,1079,2003
The Sheik,7.1,2860,1921
BearCity,6.0,1280,2010
Joan of Arc,6.5,2414,1948
Dancing Lady,6.7,1730,1933
The Favorite,4.6,237,1989
Follow the Fleet,7.2,3594,1936
Start the Revolution Without Me,6.6,2390,1970
The Outrage,6.3,1761,1964
The Ransom,6.9,470,1977
Lady Killer,7.0,1423,1933
Words and Music,6.5,1049,1948
Vicious Lips,5.5,1231,1986
American Nudist,3.2,413,2011
Stag Night,4.9,2854,2008
Task Force,6.8,826,1949
All Hallows' Eve 2,4.9,1131,2015
The Screaming Skull,3.5,2724,1958
The Phantom Planet,3.4,2374,1961
Avalanche Express,4.9,1089,1979
Raging Hormones,3.8,204,1999
The Dead Next Door,5.2,2668,1989
11:55,4.8,410,2016
Dangerous Curves,3.9,326,1988
"The World, the Flesh and the Devil",7.0,2200,1959
The Perfect Family,5.7,1341,2011
The Tarnished Angels,7.2,2699,1957
I'll Be There,6.5,1358,2003
Keys to Tulsa,5.2,1479,1997
B. Monkey,6.0,3146,1998
Out of Control,4.3,258,1985
Love & Coffee,5.1,333,2016
Death Before Dishonor,4.9,709,1987
Chasing Dreams,3.3,173,1982
The Barefoot Executive,6.0,1473,1971
Autumn Leaves,6.8,1874,1956
Tokyo Joe,6.4,1505,1949
Blood Shot,3.4,613,2013
A Guy Named Joe,7.0,1958,1943
I'm No Angel,7.0,2640,1933
Nice Girls Don't Explode,5.7,372,1987
Paradox Alice,3.8,249,2012
Caught in the Crossfire,4.5,1102,2010
What's Cooking?,7.1,2352,2000
The Moderns,6.7,1540,1988
Duet for One,7.0,762,1986
Cold Steel,4.6,632,1987
Temps,5.7,1986,2016
Can I Do It 'Till I Need Glasses?,4.3,340,1977
Tortured for Christ,9.3,81,2018
Garbo Talks,6.4,1298,1984
The Body,5.4,6970,2001
"'night, Mother",7.6,1933,1986
The Hollow,4.7,756,2016
I Used to Be Darker,5.6,863,2013
The Caretakers,5.2,607,1963
Passage to Marseille,6.9,3472,1944
The Naked Man,5.3,708,1998
The Bat People,2.3,2075,1974
Bloodbrothers,5.8,735,1978
Where Angels Go Trouble Follows!,6.4,1249,1968
Phobia,3.8,393,1980
Saidoweizu,6.1,148,2009
Backlight,6.2,1995,2010
Blood and Lace,5.7,698,1971
Birds of America,6.1,5111,2008
Blue Ice,5.2,1409,1992
Crusoe,6.3,850,1988
Rome Adventure,6.5,981,1962
The Reckless Moment,7.2,3507,1949
Joyride,5.1,1438,1997
Finding Graceland,6.5,1782,1998
Lady of Burlesque,6.4,1829,1943
Pentathlon,4.0,1537,1994
Dark Canyon,4.9,356,2012
Norman,6.6,1471,2010
Diverted Eden,7.9,24,2018
Best Men,5.7,2543,1997
Where the Dead Go to Die,4.0,779,2012
The D.I.,7.4,852,1957
Time Changer,5.4,2072,2002
Angels Sing,5.9,1847,2013
Krampus: The Christmas Devil,1.7,1503,2013
Battle Stations,5.9,118,1956
The Eddy Duchin Story,6.9,1485,1956
Russell Madness,4.3,489,2015
Bud Abbott Lou Costello Meet the Invisible Man,7.0,4231,1951
Night of the Running Man,6.0,1115,1995
The War Lover,6.7,1490,1962
Hit List,5.1,651,2011
Up Periscope,6.5,1382,1959
Kate's Addiction,4.3,580,1999
Street Dreams,6.5,968,2009
Deepwater,5.3,1853,2005
Blackmark,4.4,176,2018
Madhouse,5.6,5902,2004
Touch and Go,5.8,736,1986
Shooters,5.7,1061,2002
Invitation to a Gunfighter,6.3,1482,1964
For Pete's Sake,6.6,1859,1974
Super Novas,5.8,18,2016
All Mine to Give,7.2,1015,1957
Marked Woman,7.3,2893,1937
Tag: The Assassination Game,6.0,730,1982
Brass Target,5.9,990,1978
Body Chemistry,4.3,355,1990
April Apocalypse,5.1,872,2013
Tell,5.6,1505,2014
Bullseye!,4.7,1181,1990
Sequence Break,4.6,388,2017
Balls to the Wall,3.8,442,2011
Addiction: A 60's Love Story,6.0,79,2015
How to Win at Checkers (Every Time),7.1,694,2015
Deadly Revenge,4.4,272,2013
Route 80,5.4,79,2018
Oliver's Story,4.4,733,1978
The St. Louis Bank Robbery,5.9,1039,1959
Table for Three,5.5,2910,2009
Behind the Rising Sun,5.5,277,1943
Tomcats,5.5,122,1977
The Safety of Objects,6.6,3926,2001
It Happened in L.A.,5.6,133,2017
Four Daughters,7.0,1545,1938
Not of This Earth,6.4,1271,1957
Return to Macon County,5.5,618,1975
Sleep Dealer,5.9,6133,2008
A Boy Named Charlie Brown,7.4,3945,1969
The Sadist,6.7,2059,1963
96 Minutes,5.7,3078,2011
Amazing Grace and Chuck,5.9,1187,1987
The Red Maple Leaf,5.4,4394,2016
Rock-a-Bye Baby,6.8,1510,1958
Beach Balls,4.6,221,1988
Hello Down There,6.1,603,1969
Bikini Summer,3.8,425,1991
The Atoning,4.2,592,2017
Look,6.7,1607,2007
The Restless Breed,5.3,280,1957
The White City,5.9,89,2014
The Local Stigmatic,6.2,1317,1990
Bloodsport: The Dark Kumite,3.0,976,1999
Anything Goes,6.5,264,1936
Dream for an Insomniac,6.2,2504,1996
Night Watch,6.4,1003,1973
A Piece of the Action,6.4,920,1977
iGirlfriend,2.7,183,2017
ClownTown,3.9,1098,2016
Helen,6.4,1739,2009
Dis,7.6,13,2017
Angel 4: Undercover,4.9,216,1994
Angels' Brigade,1.9,1553,1979
You're a Big Boy Now,6.2,1285,1966
The Horsemen,6.8,908,1971
Me and Will,5.6,402,1999
Finder's Fee,6.4,2047,2001
Interior. Leather Bar.,5.1,2211,2013
My Brother the Pig,3.9,1259,1999
The Pumpkin Karver,3.3,1317,2006
In God We Tru$t,5.4,884,1980
A Distant Trumpet,6.5,731,1964
Bite Marks,4.2,454,2011
Stark Raving Mad,6.4,4542,2002
Twogether,4.3,145,1992
Shaft's Big Score!,6.1,2190,1972
The Peacekeeper,5.1,2330,1997
Live Wire,5.6,2976,1992
Captain Kidd,6.4,1330,1945
The Blackout,5.4,2106,1997
The Grace Card,6.6,2464,2010
Lafayette Escadrille,5.8,564,1958
Alice Adams,7.0,3303,1935
Deathstalker IV: Match of Titans,3.5,654,1991
The Flesh and Blood Show,5.5,607,1972
Super Fly T.N.T.,5.2,253,1973
West Virginia Stories,7.0,193,2016
Greyfriars Bobby: The True Story of a Dog,7.4,1069,1961
The Pool Boys,4.7,2321,2009
Jeremy,7.0,648,1973
Enter Laughing,6.4,413,1967
The Hero of Color City,4.1,418,2014
Purple Violets,6.5,2965,2007
The Charge of the Light Brigade,7.1,3985,1936
